【ＪＩＳコードのリスト】
        ＪＩＳ Ｘ ０２０８

JIS     SJIS    char    区点
3472    8af0    嬉      20-82
3473    8af1    寄      20-83
3474    8af2    岐      20-84
3475    8af3    希      20-85
3476    8af4    幾      20-86
3477    8af5    忌      20-87
3478    8af6    揮      20-88
3479    8af7    机      20-89
347a    8af8    旗      20-90
347b    8af9    既      20-91
347c    8afa    期      20-92
347d    8afb    棋      20-93
347e    8afc    棄      20-94
3521    8b40    機      21-01
3522    8b41    帰      21-02
3523    8b42    毅      21-03
3524    8b43    気      21-04
3525    8b44    汽      21-05
3526    8b45    畿      21-06
3527    8b46    祈      21-07
3528    8b47    季      21-08
3529    8b48    稀      21-09
352a    8b49    紀      21-10
352b    8b4a    徽      21-11
352c    8b4b    規      21-12
352d    8b4c    記      21-13
352e    8b4d    貴      21-14
352f    8b4e    起      21-15
3530    8b4f    軌      21-16
3531    8b50    輝      21-17
3532    8b51    飢      21-18
3533    8b52    騎      21-19
3534    8b53    鬼      21-20
3535    8b54    亀      21-21
3536    8b55    偽      21-22
3537    8b56    儀      21-23
3538    8b57    妓      21-24
3539    8b58    宜      21-25
353a    8b59    戯      21-26
353b    8b5a    技      21-27
353c    8b5b    擬      21-28
353d    8b5c    欺      21-29
353e    8b5d    犠      21-30
353f    8b5e    疑      21-31
3540    8b5f    祇      21-32
3541    8b60    義      21-33
3542    8b61    蟻      21-34
3543    8b62    誼      21-35
3544    8b63    議      21-36
3545    8b64    掬      21-37
3546    8b65    菊      21-38
3547    8b66    鞠      21-39
3548    8b67    吉      21-40
3549    8b68    吃      21-41
354a    8b69    喫      21-42
354b    8b6a    桔      21-43
354c    8b6b    橘      21-44
354d    8b6c    詰      21-45
354e    8b6d    砧      21-46
354f    8b6e    杵      21-47
3550    8b6f    黍      21-48
3551    8b70    却      21-49
3552    8b71    客      21-50
3553    8b72    脚      21-51
3554    8b73    虐      21-52
3555    8b74    逆      21-53
3556    8b75    丘      21-54
3557    8b76    久      21-55
3558    8b77    仇      21-56
3559    8b78    休      21-57
355a    8b79    及      21-58
355b    8b7a    吸      21-59
355c    8b7b    宮      21-60
355d    8b7c    弓      21-61
355e    8b7d    急      21-62
355f    8b7e    救      21-63
3560    8b80    朽      21-64
3561    8b81    求      21-65
3562    8b82    汲      21-66
3563    8b83    泣      21-67
3564    8b84    灸      21-68
3565    8b85    球      21-69
3566    8b86    究      21-70
3567    8b87    窮      21-71
3568    8b88    笈      21-72
3569    8b89    級      21-73
356a    8b8a    糾      21-74
356b    8b8b    給      21-75
356c    8b8c    旧      21-76
356d    8b8d    牛      21-77
356e    8b8e    去      21-78
356f    8b8f    居      21-79
3570    8b90    巨      21-80
3571    8b91    拒      21-81
3572    8b92    拠      21-82
3573    8b93    挙      21-83
3574    8b94    渠      21-84
3575    8b95    虚      21-85
3576    8b96    許      21-86
3577    8b97    距      21-87
3578    8b98    鋸      21-88
3579    8b99    漁      21-89
357a    8b9a    禦      21-90
357b    8b9b    魚      21-91
357c    8b9c    亨      21-92
357d    8b9d    享      21-93
357e    8b9e    京      21-94
3621    8b9f    供      22-01
3622    8ba0    侠      22-02
3623    8ba1    僑      22-03
3624    8ba2    兇      22-04
3625    8ba3    競      22-05
3626    8ba4    共      22-06
3627    8ba5    凶      22-07
3628    8ba6    協      22-08
3629    8ba7    匡      22-09
362a    8ba8    卿      22-10
362b    8ba9    叫      22-11
362c    8baa    喬      22-12
362d    8bab    境      22-13
362e    8bac    峡      22-14
362f    8bad    強      22-15
3630    8bae    彊      22-16
3631    8baf    怯      22-17
3632    8bb0    恐      22-18
3633    8bb1    恭      22-19
3634    8bb2    挟      22-20
3635    8bb3    教      22-21
3636    8bb4    橋      22-22
3637    8bb5    況      22-23
3638    8bb6    狂      22-24
3639    8bb7    狭      22-25
363a    8bb8    矯      22-26
363b    8bb9    胸      22-27
363c    8bba    脅      22-28
363d    8bbb    興      22-29
363e    8bbc    蕎      22-30
363f    8bbd    郷      22-31
3640    8bbe    鏡      22-32
3641    8bbf    響      22-33
3642    8bc0    饗      22-34
3643    8bc1    驚      22-35
3644    8bc2    仰      22-36
3645    8bc3    凝      22-37
3646    8bc4    尭      22-38
3647    8bc5    暁      22-39
3648    8bc6    業      22-40
3649    8bc7    局      22-41
364a    8bc8    曲      22-42
364b    8bc9    極      22-43
364c    8bca    玉      22-44
364d    8bcb    桐      22-45
364e    8bcc    粁      22-46
364f    8bcd    僅      22-47
3650    8bce    勤      22-48
3651    8bcf    均      22-49
3652    8bd0    巾      22-50
3653    8bd1    錦      22-51
3654    8bd2    斤      22-52
3655    8bd3    欣      22-53
3656    8bd4    欽      22-54
3657    8bd5    琴      22-55
3658    8bd6    禁      22-56
3659    8bd7    禽      22-57
365a    8bd8    筋      22-58
365b    8bd9    緊      22-59
365c    8bda    芹      22-60
365d    8bdb    菌      22-61
365e    8bdc    衿      22-62
365f    8bdd    襟      22-63
3660    8bde    謹      22-64
3661    8bdf    近      22-65
3662    8be0    金      22-66
3663    8be1    吟      22-67
3664    8be2    銀      22-68
3665    8be3    九      22-69
3666    8be4    倶      22-70
3667    8be5    句      22-71
3668    8be6    区      22-72
3669    8be7    狗      22-73
366a    8be8    玖      22-74
366b    8be9    矩      22-75
366c    8bea    苦      22-76
366d    8beb    躯      22-77
366e    8bec    駆      22-78
366f    8bed    駈      22-79
3670    8bee    駒      22-80
3671    8bef    具      22-81
3672    8bf0    愚      22-82
3673    8bf1    虞      22-83
3674    8bf2    喰      22-84
3675    8bf3    空      22-85
3676    8bf4    偶      22-86
3677    8bf5    寓      22-87
3678    8bf6    遇      22-88
3679    8bf7    隅      22-89
367a    8bf8    串      22-90
367b    8bf9    櫛      22-91
367c    8bfa    釧      22-92
367d    8bfb    屑      22-93
367e    8bfc    屈      22-94
3721    8c40    掘      23-01
3722    8c41    窟      23-02
3723    8c42    沓      23-03
3724    8c43    靴      23-04
3725    8c44    轡      23-05
3726    8c45    窪      23-06
3727    8c46    熊      23-07
3728    8c47    隈      23-08
3729    8c48    粂      23-09
372a    8c49    栗      23-10
372b    8c4a    繰      23-11
372c    8c4b    桑      23-12
372d    8c4c    鍬      23-13
372e    8c4d    勲      23-14
372f    8c4e    君      23-15
3730    8c4f    薫      23-16
3731    8c50    訓      23-17
3732    8c51    群      23-18
3733    8c52    軍      23-19
3734    8c53    郡      23-20
3735    8c54    卦      23-21
3736    8c55    袈      23-22
3737    8c56    祁      23-23
3738    8c57    係      23-24
3739    8c58    傾      23-25
373a    8c59    刑      23-26
373b    8c5a    兄      23-27
373c    8c5b    啓      23-28
373d    8c5c    圭      23-29
373e    8c5d    珪      23-30
373f    8c5e    型      23-31
3740    8c5f    契      23-32
3741    8c60    形      23-33
3742    8c61    径      23-34
3743    8c62    恵      23-35
3744    8c63    慶      23-36
3745    8c64    慧      23-37
3746    8c65    憩      23-38
3747    8c66    掲      23-39
3748    8c67    携      23-40
3749    8c68    敬      23-41
374a    8c69    景      23-42
374b    8c6a    桂      23-43
374c    8c6b    渓      23-44
374d    8c6c    畦      23-45
374e    8c6d    稽      23-46
374f    8c6e    系      23-47
3750    8c6f    経      23-48
3751    8c70    継      23-49
3752    8c71    繋      23-50
3753    8c72    罫      23-51
3754    8c73    茎      23-52
3755    8c74    荊      23-53
3756    8c75    蛍      23-54
3757    8c76    計      23-55
3758    8c77    詣      23-56
3759    8c78    警      23-57
375a    8c79    軽      23-58
375b    8c7a    頚      23-59
375c    8c7b    鶏      23-60
375d    8c7c    芸      23-61
375e    8c7d    迎      23-62
375f    8c7e    鯨      23-63
3760    8c80    劇      23-64
3761    8c81    戟      23-65
3762    8c82    撃      23-66
3763    8c83    激      23-67
3764    8c84    隙      23-68
3765    8c85    桁      23-69
3766    8c86    傑      23-70
3767    8c87    欠      23-71
3768    8c88    決      23-72
3769    8c89    潔      23-73
376a    8c8a    穴      23-74
376b    8c8b    結      23-75
376c    8c8c    血      23-76
376d    8c8d    訣      23-77
376e    8c8e    月      23-78
376f    8c8f    件      23-79
3770    8c90    倹      23-80
3771    8c91    倦      23-81
3772    8c92    健      23-82
3773    8c93    兼      23-83
3774    8c94    券      23-84
3775    8c95    剣      23-85
3776    8c96    喧      23-86
3777    8c97    圏      23-87
3778    8c98    堅      23-88
3779    8c99    嫌      23-89
377a    8c9a    建      23-90
377b    8c9b    憲      23-91
377c    8c9c    懸      23-92
377d    8c9d    拳      23-93
377e    8c9e    捲      23-94
3821    8c9f    検      24-01
3822    8ca0    権      24-02
3823    8ca1    牽      24-03
3824    8ca2    犬      24-04
3825    8ca3    献      24-05
3826    8ca4    研      24-06
3827    8ca5    硯      24-07
3828    8ca6    絹      24-08
3829    8ca7    県      24-09
382a    8ca8    肩      24-10
382b    8ca9    見      24-11
382c    8caa    謙      24-12
382d    8cab    賢      24-13
382e    8cac    軒      24-14
382f    8cad    遣      24-15
3830    8cae    鍵      24-16
3831    8caf    険      24-17
3832    8cb0    顕      24-18
3833    8cb1    験      24-19
3834    8cb2    鹸      24-20
3835    8cb3    元      24-21
3836    8cb4    原      24-22
3837    8cb5    厳      24-23
3838    8cb6    幻      24-24
3839    8cb7    弦      24-25
383a    8cb8    減      24-26
383b    8cb9    源      24-27
383c    8cba    玄      24-28
383d    8cbb    現      24-29
383e    8cbc    絃      24-30
383f    8cbd    舷      24-31
3840    8cbe    言      24-32
3841    8cbf    諺      24-33
3842    8cc0    限      24-34
3843    8cc1    乎      24-35
3844    8cc2    個      24-36
3845    8cc3    古      24-37
3846    8cc4    呼      24-38
3847    8cc5    固      24-39
3848    8cc6    姑      24-40
3849    8cc7    孤      24-41
384a    8cc8    己      24-42
384b    8cc9    庫      24-43
384c    8cca    弧      24-44
384d    8ccb    戸      24-45
384e    8ccc    故      24-46
384f    8ccd    枯      24-47
3850    8cce    湖      24-48
3851    8ccf    狐      24-49
3852    8cd0    糊      24-50
3853    8cd1    袴      24-51
3854    8cd2    股      24-52
3855    8cd3    胡      24-53
3856    8cd4    菰      24-54
3857    8cd5    虎      24-55
3858    8cd6    誇      24-56
3859    8cd7    跨      24-57
385a    8cd8    鈷      24-58
385b    8cd9    雇      24-59
385c    8cda    顧      24-60
385d    8cdb    鼓      24-61
385e    8cdc    五      24-62
385f    8cdd    互      24-63
3860    8cde    伍      24-64
3861    8cdf    午      24-65
3862    8ce0    呉      24-66
3863    8ce1    吾      24-67
3864    8ce2    娯      24-68
3865    8ce3    後      24-69
3866    8ce4    御      24-70
3867    8ce5    悟      24-71
3868    8ce6    梧      24-72
3869    8ce7    檎      24-73
386a    8ce8    瑚      24-74
386b    8ce9    碁      24-75
386c    8cea    語      24-76
386d    8ceb    誤      24-77
386e    8cec    護      24-78
386f    8ced    醐      24-79
3870    8cee    乞      24-80
3871    8cef    鯉      24-81
3872    8cf0    交      24-82
3873    8cf1    佼      24-83
3874    8cf2    侯      24-84
3875    8cf3    候      24-85
3876    8cf4    倖      24-86
3877    8cf5    光      24-87
3878    8cf6    公      24-88
3879    8cf7    功      24-89
387a    8cf8    効      24-90
387b    8cf9    勾      24-91
387c    8cfa    厚      24-92
387d    8cfb    口      24-93
387e    8cfc    向      24-94
3921    8d40    后      25-01
3922    8d41    喉      25-02
3923    8d42    坑      25-03
3924    8d43    垢      25-04
3925    8d44    好      25-05
3926    8d45    孔      25-06
3927    8d46    孝      25-07
3928    8d47    宏      25-08
3929    8d48    工      25-09
392a    8d49    巧      25-10
392b    8d4a    巷      25-11
392c    8d4b    幸      25-12
392d    8d4c    広      25-13
392e    8d4d    庚      25-14
392f    8d4e    康      25-15
3930    8d4f    弘      25-16
3931    8d50    恒      25-17
3932    8d51    慌      25-18
3933    8d52    抗      25-19
3934    8d53    拘      25-20
3935    8d54    控      25-21
3936    8d55    攻      25-22
3937    8d56    昂      25-23
3938    8d57    晃      25-24
3939    8d58    更      25-25
393a    8d59    杭      25-26
393b    8d5a    校      25-27
393c    8d5b    梗      25-28
393d    8d5c    構      25-29
393e    8d5d    江      25-30
393f    8d5e    洪      25-31
3940    8d5f    浩      25-32
3941    8d60    港      25-33
3942    8d61    溝      25-34
3943    8d62    甲      25-35
3944    8d63    皇      25-36
3945    8d64    硬      25-37
3946    8d65    稿      25-38
3947    8d66    糠      25-39
